Compound,Date,Negative,Neutral,Positive,Tweets ago
0.2714,Sat Jul 14 16:03:05 +0000 2018,0.621,0.147,0.232,1
0.0,Sat Jul 14 13:03:04 +0000 2018,1.0,0.0,0.0,2
0.0,Sat Jul 14 12:10:55 +0000 2018,1.0,0.0,0.0,3
0.0,Sat Jul 14 12:08:51 +0000 2018,1.0,0.0,0.0,4
0.0,Sat Jul 14 12:04:02 +0000 2018,1.0,0.0,0.0,5
0.0,Sat Jul 14 11:13:46 +0000 2018,1.0,0.0,0.0,6
0.0,Sat Jul 14 11:07:03 +0000 2018,1.0,0.0,0.0,7
-0.2732,Sat Jul 14 10:03:02 +0000 2018,0.87,0.13,0.0,8
0.1027,Sat Jul 14 09:54:33 +0000 2018,0.924,0.0,0.076,9
0.4019,Sat Jul 14 09:07:03 +0000 2018,0.838,0.0,0.162,10
0.7506,Sat Jul 14 08:02:07 +0000 2018,0.652,0.0,0.348,11
0.6249,Sat Jul 14 07:33:07 +0000 2018,0.608,0.118,0.274,12
-0.7003,Sat Jul 14 07:04:02 +0000 2018,0.734,0.266,0.0,13
0.7964,Fri Jul 13 20:32:04 +0000 2018,0.728,0.0,0.272,14
0.8268,Fri Jul 13 18:31:05 +0000 2018,0.688,0.0,0.312,15
0.0,Fri Jul 13 18:30:37 +0000 2018,1.0,0.0,0.0,16
-0.7876,Fri Jul 13 17:32:04 +0000 2018,0.669,0.331,0.0,17
0.9022,Fri Jul 13 17:02:05 +0000 2018,0.643,0.0,0.357,18
-0.0516,Fri Jul 13 15:59:00 +0000 2018,0.938,0.062,0.0,19
0.0,Fri Jul 13 15:47:44 +0000 2018,1.0,0.0,0.0,20
0.0382,Fri Jul 13 15:04:04 +0000 2018,0.943,0.0,0.057,21
-0.7579,Fri Jul 13 12:03:03 +0000 2018,0.418,0.427,0.155,22
0.3182,Fri Jul 13 11:03:03 +0000 2018,0.881,0.0,0.119,23
0.0,Fri Jul 13 10:01:02 +0000 2018,1.0,0.0,0.0,24
0.0,Fri Jul 13 09:59:32 +0000 2018,1.0,0.0,0.0,25
0.0,Fri Jul 13 08:03:04 +0000 2018,1.0,0.0,0.0,26
0.1779,Fri Jul 13 07:27:05 +0000 2018,0.909,0.0,0.091,27
0.0,Fri Jul 13 07:03:02 +0000 2018,1.0,0.0,0.0,28
-0.0772,Thu Jul 12 20:02:02 +0000 2018,0.929,0.071,0.0,29
0.6249,Thu Jul 12 18:04:07 +0000 2018,0.785,0.0,0.215,30
-0.0258,Thu Jul 12 17:03:06 +0000 2018,0.539,0.215,0.246,31
0.0,Thu Jul 12 16:03:02 +0000 2018,1.0,0.0,0.0,32
0.6597,Thu Jul 12 14:47:18 +0000 2018,0.512,0.178,0.31,33
0.4404,Thu Jul 12 13:04:03 +0000 2018,0.854,0.0,0.146,34
0.0,Thu Jul 12 12:04:04 +0000 2018,1.0,0.0,0.0,35
