Compound,Date,Negative,Neutral,Positive,Tweets ago
0.0,Sat Jul 14 16:03:49 +0000 2018,1.0,0.0,0.0,1
0.128,Sat Jul 14 15:45:09 +0000 2018,0.705,0.115,0.181,2
0.0258,Sat Jul 14 15:30:06 +0000 2018,0.927,0.0,0.073,3
0.6597,Sat Jul 14 15:15:10 +0000 2018,0.748,0.0,0.252,4
-0.1027,Sat Jul 14 15:01:05 +0000 2018,0.583,0.217,0.2,5
0.5106,Sat Jul 14 14:52:07 +0000 2018,0.732,0.0,0.268,6
-0.4215,Sat Jul 14 14:01:48 +0000 2018,0.629,0.215,0.156,7
0.0,Sat Jul 14 13:46:05 +0000 2018,1.0,0.0,0.0,8
0.0,Sat Jul 14 13:31:00 +0000 2018,1.0,0.0,0.0,9
0.4404,Sat Jul 14 13:01:03 +0000 2018,0.868,0.0,0.132,10
0.7096,Sat Jul 14 12:46:07 +0000 2018,0.772,0.0,0.228,11
0.0,Sat Jul 14 12:31:02 +0000 2018,1.0,0.0,0.0,12
0.0,Sat Jul 14 12:01:05 +0000 2018,1.0,0.0,0.0,13
-0.3412,Sat Jul 14 11:31:00 +0000 2018,0.869,0.131,0.0,14
-0.7964,Sat Jul 14 11:01:04 +0000 2018,0.618,0.309,0.073,15
0.0,Sat Jul 14 10:31:00 +0000 2018,1.0,0.0,0.0,16
-0.0772,Sat Jul 14 10:16:11 +0000 2018,0.933,0.067,0.0,17
-0.5267,Sat Jul 14 10:02:10 +0000 2018,0.841,0.159,0.0,18
0.4939,Sat Jul 14 09:46:04 +0000 2018,0.833,0.0,0.167,19
0.7351,Sat Jul 14 09:31:00 +0000 2018,0.744,0.0,0.256,20
0.0,Sat Jul 14 09:01:03 +0000 2018,1.0,0.0,0.0,21
0.7717,Sat Jul 14 08:31:00 +0000 2018,0.642,0.0,0.358,22
0.0,Sat Jul 14 08:01:07 +0000 2018,1.0,0.0,0.0,23
-0.34,Sat Jul 14 07:31:00 +0000 2018,0.738,0.18,0.082,24
-0.7964,Sat Jul 14 07:01:41 +0000 2018,0.747,0.253,0.0,25
0.4215,Sat Jul 14 06:31:00 +0000 2018,0.851,0.0,0.149,26
-0.5423,Sat Jul 14 06:01:04 +0000 2018,0.8,0.2,0.0,27
-0.5574,Sat Jul 14 05:46:07 +0000 2018,0.825,0.175,0.0,28
0.0,Sat Jul 14 05:31:00 +0000 2018,1.0,0.0,0.0,29
0.4005,Sat Jul 14 05:16:04 +0000 2018,0.77,0.072,0.159,30
-0.5574,Sat Jul 14 05:05:03 +0000 2018,0.841,0.159,0.0,31
-0.5423,Sat Jul 14 05:01:07 +0000 2018,0.717,0.211,0.072,32
0.4019,Sat Jul 14 04:46:08 +0000 2018,0.87,0.0,0.13,33
0.1779,Sat Jul 14 04:31:00 +0000 2018,0.928,0.0,0.072,34
0.0,Sat Jul 14 04:16:05 +0000 2018,1.0,0.0,0.0,35
0.0,Sat Jul 14 04:01:08 +0000 2018,1.0,0.0,0.0,36
0.5574,Sat Jul 14 03:44:09 +0000 2018,0.841,0.0,0.159,37
0.0,Sat Jul 14 03:37:14 +0000 2018,1.0,0.0,0.0,38
0.0,Sat Jul 14 03:31:04 +0000 2018,1.0,0.0,0.0,39
0.0,Sat Jul 14 03:27:58 +0000 2018,1.0,0.0,0.0,40
0.0,Sat Jul 14 03:16:03 +0000 2018,1.0,0.0,0.0,41
0.5709,Sat Jul 14 03:14:15 +0000 2018,0.81,0.0,0.19,42
0.0,Sat Jul 14 03:01:03 +0000 2018,1.0,0.0,0.0,43
-0.7003,Sat Jul 14 02:51:02 +0000 2018,0.775,0.225,0.0,44
-0.5574,Sat Jul 14 02:31:56 +0000 2018,0.813,0.187,0.0,45
0.0,Sat Jul 14 02:28:19 +0000 2018,1.0,0.0,0.0,46
0.0,Sat Jul 14 02:27:07 +0000 2018,1.0,0.0,0.0,47
0.296,Sat Jul 14 02:24:13 +0000 2018,0.82,0.0,0.18,48
0.0,Sat Jul 14 02:16:03 +0000 2018,1.0,0.0,0.0,49
0.0,Sat Jul 14 02:15:12 +0000 2018,1.0,0.0,0.0,50
-0.9042,Sat Jul 14 02:07:48 +0000 2018,0.603,0.397,0.0,51
-0.4767,Sat Jul 14 02:06:03 +0000 2018,0.86,0.14,0.0,52
0.4118,Sat Jul 14 02:01:04 +0000 2018,0.842,0.0,0.158,53
-0.5994,Sat Jul 14 01:51:06 +0000 2018,0.83,0.17,0.0,54
0.3818,Sat Jul 14 01:41:08 +0000 2018,0.843,0.0,0.157,55
0.0258,Sat Jul 14 01:36:05 +0000 2018,0.776,0.11,0.114,56
0.0258,Sat Jul 14 01:31:07 +0000 2018,0.809,0.094,0.098,57
0.34,Sat Jul 14 01:21:04 +0000 2018,0.893,0.0,0.107,58
0.2023,Sat Jul 14 01:12:02 +0000 2018,0.917,0.0,0.083,59
0.5034,Sat Jul 14 01:10:08 +0000 2018,0.847,0.0,0.153,60
0.5574,Sat Jul 14 01:01:03 +0000 2018,0.806,0.0,0.194,61
0.0,Sat Jul 14 01:00:20 +0000 2018,1.0,0.0,0.0,62
-0.7269,Sat Jul 14 01:00:10 +0000 2018,0.775,0.225,0.0,63
0.0,Sat Jul 14 00:54:14 +0000 2018,1.0,0.0,0.0,64
-0.5106,Sat Jul 14 00:43:39 +0000 2018,0.864,0.136,0.0,65
0.0,Sat Jul 14 00:43:14 +0000 2018,1.0,0.0,0.0,66
-0.4404,Sat Jul 14 00:39:14 +0000 2018,0.813,0.187,0.0,67
0.0,Sat Jul 14 00:32:18 +0000 2018,1.0,0.0,0.0,68
-0.4404,Sat Jul 14 00:21:06 +0000 2018,0.854,0.146,0.0,69
0.0,Sat Jul 14 00:10:06 +0000 2018,1.0,0.0,0.0,70
0.0,Sat Jul 14 00:01:07 +0000 2018,1.0,0.0,0.0,71
0.7717,Fri Jul 13 23:51:39 +0000 2018,0.691,0.0,0.309,72
-0.3412,Fri Jul 13 23:43:40 +0000 2018,0.876,0.124,0.0,73
0.7003,Fri Jul 13 23:41:10 +0000 2018,0.691,0.0,0.309,74
-0.4019,Fri Jul 13 23:31:09 +0000 2018,0.828,0.172,0.0,75
0.4466,Fri Jul 13 23:31:00 +0000 2018,0.866,0.0,0.134,76
-0.5574,Fri Jul 13 23:21:03 +0000 2018,0.825,0.175,0.0,77
-0.7964,Fri Jul 13 23:11:58 +0000 2018,0.747,0.253,0.0,78
0.0,Fri Jul 13 23:01:03 +0000 2018,1.0,0.0,0.0,79
0.4466,Fri Jul 13 22:58:01 +0000 2018,0.882,0.0,0.118,80
-0.3612,Fri Jul 13 22:51:06 +0000 2018,0.878,0.122,0.0,81
-0.296,Fri Jul 13 22:41:04 +0000 2018,0.901,0.099,0.0,82
-0.5994,Fri Jul 13 22:31:05 +0000 2018,0.804,0.196,0.0,83
0.4215,Fri Jul 13 22:23:55 +0000 2018,0.887,0.0,0.113,84
0.0,Fri Jul 13 22:21:08 +0000 2018,1.0,0.0,0.0,85
