Compound,Date,Negative,Neutral,Positive,Tweets ago
-0.2263,Sat Jul 14 16:09:08 +0000 2018,0.872,0.128,0.0,1
0.3595,Sat Jul 14 16:01:00 +0000 2018,0.762,0.081,0.157,2
0.0,Sat Jul 14 15:45:00 +0000 2018,1.0,0.0,0.0,3
0.7845,Sat Jul 14 15:43:34 +0000 2018,0.653,0.0,0.347,4
0.0,Sat Jul 14 15:38:11 +0000 2018,1.0,0.0,0.0,5
0.4404,Sat Jul 14 15:25:15 +0000 2018,0.847,0.0,0.153,6
0.4215,Sat Jul 14 15:20:23 +0000 2018,0.877,0.0,0.123,7
0.0,Sat Jul 14 15:15:19 +0000 2018,1.0,0.0,0.0,8
-0.34,Sat Jul 14 15:09:18 +0000 2018,0.844,0.156,0.0,9
0.5423,Sat Jul 14 14:59:00 +0000 2018,0.8,0.0,0.2,10
0.5859,Sat Jul 14 14:52:41 +0000 2018,0.743,0.0,0.257,11
-0.2263,Sat Jul 14 14:45:41 +0000 2018,0.685,0.178,0.137,12
0.0,Sat Jul 14 14:45:00 +0000 2018,1.0,0.0,0.0,13
0.128,Sat Jul 14 14:44:19 +0000 2018,0.914,0.0,0.086,14
-0.4767,Sat Jul 14 14:41:45 +0000 2018,0.853,0.147,0.0,15
0.4404,Sat Jul 14 14:41:03 +0000 2018,0.838,0.0,0.162,16
0.2755,Sat Jul 14 14:38:23 +0000 2018,0.905,0.0,0.095,17
0.0,Sat Jul 14 14:36:37 +0000 2018,1.0,0.0,0.0,18
-0.5277,Sat Jul 14 14:35:26 +0000 2018,0.747,0.253,0.0,19
0.2023,Sat Jul 14 14:30:36 +0000 2018,0.776,0.095,0.129,20
-0.5267,Sat Jul 14 14:21:00 +0000 2018,0.784,0.216,0.0,21
0.0,Sat Jul 14 14:14:48 +0000 2018,1.0,0.0,0.0,22
0.1298,Sat Jul 14 14:08:41 +0000 2018,0.803,0.088,0.108,23
-0.872,Sat Jul 14 14:03:41 +0000 2018,0.562,0.438,0.0,24
0.128,Sat Jul 14 13:56:11 +0000 2018,0.803,0.088,0.108,25
0.0,Sat Jul 14 13:46:44 +0000 2018,1.0,0.0,0.0,26
-0.6486,Sat Jul 14 13:39:11 +0000 2018,0.677,0.323,0.0,27
0.765,Sat Jul 14 13:34:50 +0000 2018,0.612,0.0,0.388,28
0.4019,Sat Jul 14 12:55:05 +0000 2018,0.787,0.0,0.213,29
0.0,Sat Jul 14 12:36:10 +0000 2018,1.0,0.0,0.0,30
0.0,Sat Jul 14 12:16:48 +0000 2018,1.0,0.0,0.0,31
0.0,Sat Jul 14 12:05:58 +0000 2018,1.0,0.0,0.0,32
0.296,Sat Jul 14 12:01:15 +0000 2018,0.879,0.0,0.121,33
0.0,Sat Jul 14 11:41:46 +0000 2018,1.0,0.0,0.0,34
-0.7271,Sat Jul 14 11:25:57 +0000 2018,0.724,0.276,0.0,35
0.5574,Sat Jul 14 11:14:02 +0000 2018,0.825,0.0,0.175,36
-0.2263,Sat Jul 14 11:05:29 +0000 2018,0.863,0.137,0.0,37
0.0,Sat Jul 14 10:48:10 +0000 2018,1.0,0.0,0.0,38
