Compound,Date,Negative,Neutral,Positive,Tweets ago
0.7579,Sat Jul 14 16:05:02 +0000 2018,0.735,0.0,0.265,1
-0.5574,Sat Jul 14 15:50:02 +0000 2018,0.833,0.167,0.0,2
0.7314,Sat Jul 14 15:35:05 +0000 2018,0.549,0.142,0.309,3
0.4199,Sat Jul 14 15:20:03 +0000 2018,0.883,0.0,0.117,4
0.0,Sat Jul 14 15:05:06 +0000 2018,1.0,0.0,0.0,5
0.0,Sat Jul 14 14:50:04 +0000 2018,1.0,0.0,0.0,6
0.0,Sat Jul 14 14:40:08 +0000 2018,1.0,0.0,0.0,7
-0.3919,Sat Jul 14 14:30:09 +0000 2018,0.726,0.175,0.1,8
0.4939,Sat Jul 14 14:17:06 +0000 2018,0.563,0.141,0.296,9
-0.3612,Sat Jul 14 14:02:04 +0000 2018,0.762,0.238,0.0,10
0.3182,Sat Jul 14 13:42:03 +0000 2018,0.839,0.0,0.161,11
-0.296,Sat Jul 14 13:21:05 +0000 2018,0.784,0.216,0.0,12
-0.2023,Sat Jul 14 13:02:04 +0000 2018,0.87,0.13,0.0,13
0.3818,Sat Jul 14 12:42:05 +0000 2018,0.843,0.0,0.157,14
0.4404,Sat Jul 14 12:21:06 +0000 2018,0.854,0.0,0.146,15
0.0,Sat Jul 14 12:02:04 +0000 2018,1.0,0.0,0.0,16
0.4926,Sat Jul 14 11:41:02 +0000 2018,0.868,0.0,0.132,17
0.4404,Sat Jul 14 11:21:01 +0000 2018,0.868,0.0,0.132,18
0.0516,Sat Jul 14 11:02:04 +0000 2018,0.708,0.163,0.129,19
0.0,Sat Jul 14 10:52:59 +0000 2018,1.0,0.0,0.0,20
0.0,Sat Jul 14 10:35:48 +0000 2018,1.0,0.0,0.0,21
0.0,Sat Jul 14 10:31:04 +0000 2018,1.0,0.0,0.0,22
0.0,Sat Jul 14 10:14:48 +0000 2018,1.0,0.0,0.0,23
0.0,Sat Jul 14 10:07:16 +0000 2018,1.0,0.0,0.0,24
0.6486,Sat Jul 14 09:50:19 +0000 2018,0.47,0.121,0.409,25
0.8176,Sat Jul 14 09:32:02 +0000 2018,0.564,0.0,0.436,26
0.4404,Sat Jul 14 09:10:05 +0000 2018,0.805,0.0,0.195,27
0.6369,Sat Jul 14 09:08:25 +0000 2018,0.802,0.0,0.198,28
-0.6369,Sat Jul 14 08:50:44 +0000 2018,0.833,0.167,0.0,29
-0.1531,Sat Jul 14 08:33:04 +0000 2018,0.918,0.082,0.0,30
0.0,Sat Jul 14 08:09:19 +0000 2018,1.0,0.0,0.0,31
0.0,Sat Jul 14 07:51:52 +0000 2018,1.0,0.0,0.0,32
0.0,Sat Jul 14 07:33:06 +0000 2018,1.0,0.0,0.0,33
-0.3182,Sat Jul 14 07:06:06 +0000 2018,0.733,0.168,0.099,34
0.5106,Sat Jul 14 06:48:47 +0000 2018,0.837,0.0,0.163,35
-0.34,Sat Jul 14 06:32:01 +0000 2018,0.882,0.118,0.0,36
0.0,Sat Jul 14 06:02:38 +0000 2018,1.0,0.0,0.0,37
